words,links,capital_words,spam_word_count,is_spam
73,8,11,9,1
184,2,0,0,0
358,0,21,6,1
381,1,1,0,0
58,2,1,0,0
176,1,6,2,0
242,1,2,1,0
301,10,3,6,1
226,0,0,4,0
21,0,1,1,0
961,2,23,6,1
258,1,3,1,0
195,2,0,1,0
124,2,29,5,1
260,8,5,4,1
150,0,3,2,0
597,10,4,7,1
203,7,28,3,1
130,2,0,2,0
224,10,29,10,1
118,0,1,5,1
205,1,0,2,0
128,2,2,2,0
149,2,8,0,0
197,2,10,4,1
151,2,3,6,0
395,1,3,4,0
198,1,3,0,0
727,8,11,8,1
482,3,16,6,1
50,3,26,2,1
305,2,6,10,1
65,1,2,1,0
836,3,6,3,1
115,6,4,3,1
122,2,2,2,0
184,2,10,2,0
39,0,0,1,0
178,2,1,2,0
127,6,28,10,1
78,9,29,9,1
56,0,8,1,0
110,3,0,2,0
87,3,0,2,0
490,5,7,7,1
31,0,8,4,0
183,0,2,0,0
684,0,19,2,1
959,9,28,10,1
70,2,5,2,0
555,2,17,3,1
207,0,9,1,0
292,1,0,1,0
62,1,5,1,0
116,1,5,0,0
192,10,23,6,1
171,6,14,10,1
210,3,2,2,0
841,9,1,1,1
223,0,6,0,0
155,9,30,1,1
307,7,7,3,1
170,1,2,0,0
205,0,0,2,0
275,2,0,0,0
182,2,0,2,0
100,2,1,2,0
603,10,11,3,1
233,0,0,1,0
418,1,1,2,0
600,5,24,8,1
138,6,26,0,1
178,0,1,0,0
545,7,19,3,1
791,2,30,1,1
119,0,3,1,0
176,0,3,0,0
263,1,3,1,0
209,0,8,1,0
873,2,16,7,1
721,5,19,1,1
602,10,16,6,1
247,3,3,8,1
498,3,10,4,1
458,2,2,2,0
769,10,3,5,1
48,5,9,1,0
255,2,1,1,0
595,3,30,6,1
78,8,17,10,1
691,7,26,10,1
350,9,7,1,1
953,8,9,4,1
794,4,1,0,1
534,1,29,3,1
267,3,1,6,0
129,1,8,2,0
827,0,26,2,1
64,0,0,2,0
165,0,10,1,0
196,0,9,6,1
285,0,1,0,0
448,9,10,9,1
171,1,7,0,0
151,2,9,9,1
279,6,10,7,1
860,9,13,10,1
26,4,1,1,0
845,9,28,5,1
911,3,17,4,1
238,0,2,2,0
489,1,4,5,1
182,1,0,1,0
101,1,0,0,0
48,0,0,1,0
454,0,0,0,0
934,7,11,4,1
538,3,20,5,1
258,0,2,2,0
410,5,22,9,1
166,0,9,0,0
184,5,27,10,1
169,0,8,6,0
111,1,20,6,1
574,9,1,5,1
82,3,26,9,1
28,1,2,0,0
110,1,2,0,0
824,2,4,3,1
601,5,14,0,1
279,5,2,2,0
48,2,9,1,0
188,2,1,2,0
167,9,9,4,1
237,0,3,2,0
373,4,1,3,0
279,0,3,1,0
244,2,2,4,0
216,7,23,10,1
299,5,27,10,1
33,2,0,5,0
296,3,17,0,1
696,6,28,8,1
884,9,30,10,1
291,1,3,1,0
190,9,18,8,1
881,5,26,4,1
521,7,25,2,1
322,9,2,10,1
283,4,26,6,1
378,2,2,1,0
394,3,22,0,1
395,5,3,10,1
706,1,6,4,1
87,0,1,0,0
290,2,2,2,0
141,1,0,3,1
557,2,25,1,1
394,8,25,8,1
129,0,3,6,0
50,10,0,4,1
382,5,4,9,1
271,1,9,0,0
83,3,0,0,0
294,2,1,0,0
891,8,5,2,1
272,0,1,2,0
395,10,13,3,1
862,3,2,4,1
54,2,11,5,1
131,2,6,6,1
174,1,2,3,0
209,3,0,0,0
151,3,26,10,1
694,1,29,5,1
284,1,3,2,0
196,1,2,6,0
333,2,0,2,0
303,2,12,9,1
117,2,3,4,0
128,4,2,5,0
60,1,7,3,0
333,7,14,7,1
272,0,3,0,0
84,2,0,3,1
87,0,3,1,0
250,5,5,2,0
64,1,2,0,0
911,3,18,8,1
519,6,5,10,1
303,4,0,1,0
458,5,22,9,1
208,1,5,2,0
482,2,1,2,0
74,0,2,0,0
177,0,1,1,0
288,1,2,4,0
33,0,1,1,0
255,2,3,2,0
296,1,0,1,0
254,1,0,2,0
247,2,3,2,0
994,9,20,1,1
405,9,1,4,1
143,6,20,3,1
636,7,21,7,1
187,2,3,0,0
78,0,1,2,0
172,3,1,1,0
58,2,2,6,0
633,1,19,2,1
88,5,3,5,0
453,1,0,1,0
102,1,1,1,0
243,2,0,0,0
165,1,2,0,0
249,7,6,3,1
254,5,3,2,0
206,1,0,1,0
213,2,10,4,0
114,0,8,1,0
909,7,5,2,1
582,9,9,3,1
208,3,19,8,1
893,1,26,8,1
163,2,0,0,0
226,5,8,2,0
52,2,0,0,0
244,2,0,6,0
214,0,7,1,0
23,4,2,6,0
872,7,1,10,1
123,9,2,3,1
93,2,1,2,0
83,1,0,0,0
268,0,1,0,0
364,0,1,0,0
259,3,15,6,1
189,4,8,9,1
435,0,1,2,0
128,5,4,3,1
630,6,22,4,1
458,1,3,9,1
289,3,3,3,0
498,8,17,10,1
198,4,27,10,1
415,4,21,10,1
81,6,3,2,1
88,3,2,2,0
260,3,2,1,0
28,0,1,0,0
334,5,5,9,1
236,2,1,2,0
108,4,16,9,1
231,4,3,2,0
196,0,3,4,0
554,5,7,6,1
85,9,7,3,1
161,4,22,3,1
234,1,3,1,0
178,1,2,2,0
304,10,12,5,1
45,0,1,2,0
185,2,1,1,0
244,6,6,3,1
695,8,5,3,1
247,10,2,6,1
385,4,12,3,1
146,2,10,2,0
157,8,0,10,1
735,7,28,4,1
112,3,13,7,1
431,6,20,10,1
961,7,1,4,1
151,1,0,1,0
137,1,3,0,0
297,9,14,3,1
750,6,21,2,1
37,2,2,0,0
203,2,2,5,0
122,2,2,2,0
49,0,0,0,0
504,3,0,10,1
335,2,1,1,0
162,5,23,8,1
610,4,25,3,1
87,1,3,1,0
189,4,2,0,0
348,6,1,7,1
760,2,24,3,1
292,5,2,1,0
127,2,26,7,1
803,0,16,5,1
166,1,2,4,0
992,1,18,1,1
625,3,2,10,1
802,10,30,8,1
333,10,13,6,1
192,1,1,1,0
148,2,0,1,0
245,4,16,0,1
413,8,28,4,1
380,2,5,2,0
210,3,5,0,0
158,6,19,1,1
166,0,22,7,1
161,9,17,9,1
240,1,1,1,0
796,3,25,2,1
869,5,5,3,1
101,8,29,7,1
160,9,0,3,1
151,1,2,6,0
425,0,2,1,0
178,2,5,3,1
143,2,1,1,0
66,2,0,6,0
255,2,1,2,0
172,4,18,7,1
872,7,11,7,1
705,9,23,9,1
35,0,1,0,0
815,2,13,7,1
98,2,0,3,0
282,0,1,4,0
583,2,10,6,1
376,2,26,7,1
532,7,25,4,1
990,4,2,3,1
148,8,4,8,1
157,2,13,5,1
59,2,13,9,1
454,2,0,5,0
728,6,5,9,1
473,1,0,1,0
270,2,1,1,0
716,3,28,1,1
87,0,0,1,0
188,0,1,0,0
125,2,6,0,0
76,0,2,2,0
